Frequency Band,dB Value
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-127.5859375
Band 16,-124.4765625
Band 17,-126.7890625
Band 18,-123.8046875
Band 19,-121.4609375
Band 20,-120.8515625
Band 21,-119.140625
Band 22,-118.25
Band 23,-128.0
Band 24,-128.0
Band 25,-120.1796875
Band 26,-116.3984375
Band 27,-113.421875
Band 28,-109.25
Band 29,-102.2578125
Band 30,-96.1953125
Band 31,-91.109375
Band 32,-87.8046875
Band 33,-85.4140625
Band 34,-83.5546875
Band 35,-71.6796875
Band 36,-60.65625
Band 37,-64.4609375
Band 38,-68.21875
Band 39,-65.890625
Band 40,-66.4921875
Band 41,-68.4375
Band 42,-62.046875
Band 43,-63.2109375
Band 44,-75.703125
Band 45,-75.8203125
Band 46,-59.46875
Band 47,-67.296875
Band 48,-65.7265625
Band 49,-63.921875
Band 50,-71.8828125
Band 51,-70.0234375
Band 52,-66.9765625
Band 53,-64.3125
Band 54,-64.8125
Band 55,-59.0703125
Band 56,-70.7421875
Band 57,-71.53125
Band 58,-69.9921875
Band 59,-68.7578125
Band 60,-73.8046875
Band 61,-72.6015625
Band 62,-69.765625
Band 63,-70.015625
Band 64,-72.78125
Band 65,-66.5390625
Band 66,-81.78125
Band 67,-72.421875
Band 68,-81.53125
Band 69,-78.8828125
Band 70,-83.796875
Band 71,-82.640625
Band 72,-76.171875
Band 73,-78.015625
Band 74,-78.78125
Band 75,-81.90625
Band 76,-85.953125
Band 77,-74.8125
Band 78,-71.8671875
Band 79,-77.4765625
Band 80,-72.2421875
Band 81,-71.3828125
Band 82,-71.75
Band 83,-73.296875
Band 84,-66.5625
Band 85,-62.859375
Band 86,-68.6328125
Band 87,-66.9921875
Band 88,-64.953125
Band 89,-67.3046875
Band 90,-75.171875
Band 91,-73.4609375
Band 92,-80.109375
Band 93,-81.3984375
Band 94,-78.125
Band 95,-88.15625
Band 96,-84.65625
Band 97,-90.2890625
Band 98,-94.7265625
Band 99,-98.5703125
Band 100,-105.0
Band 101,-111.0390625
Band 102,-111.390625

Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
